brand,family,model,approx_era,status,host,max_sample_rate_khz,bit_depth,analog_output_summary,da_dynamic_range_dba,da_thdn_db,max_output_dbu,output_impedance_ohm,independent_measurement,measurement_source,confidence,modeling_note
Focusrite,Saffire,Saffire Pro 10 I/O,2006-2009,legacy,FireWire,96,24,8 line out,,,,,limited,,low,
Focusrite,Saffire,Saffire Pro 26 I/O,2006-2010,legacy,FireWire,192,24,8 line out,,,,,limited,,low,
Focusrite,Saffire,Saffire Pro 24,2009-2017,legacy,FireWire,96,24,6 line out,,,,,available,RMAA/user tests,low,
Focusrite,Saffire,Saffire Pro 24 DSP,2009-2017,legacy,FireWire,96,24,6 line out,,,,,limited,,low,
Focusrite,Saffire,Saffire Pro 40,2008-2017,legacy,FireWire,96,24,10 line out,109,,+15.5,,available,RMAA/user tests,medium,
Focusrite,Saffire,Liquid Saffire 56,2009-2017,legacy,FireWire,192,24,10 line out,,,,,limited,,low,
Focusrite,Clarett,Clarett 2Pre Thunderbolt,2015-2020,legacy,Thunderbolt,192,24,4 line out,118,-103,+16,16,available,Julian Krause,medium,
Focusrite,Clarett,Clarett 4Pre Thunderbolt,2015-2020,legacy,Thunderbolt,192,24,4 line out,118,-103,+16,16,limited,,medium,
Focusrite,Clarett,Clarett 8Pre Thunderbolt,2015-2020,legacy,Thunderbolt,192,24,10 line out,118,-103,+16,16,limited,,medium,
Focusrite,Clarett,Clarett 8PreX,2015-2020,legacy,Thunderbolt,192,24,10 line out,118,-103,+16,16,limited,,medium,
Focusrite,Clarett USB,Clarett 2Pre USB,2018-2021,legacy,USB 2,192,24,4 line out,118,-103,+16,16,available,Julian Krause,medium,
Focusrite,Clarett USB,Clarett 4Pre USB,2018-2021,legacy,USB 2,192,24,4 line out,118,-103,+16,16,limited,,medium,
Focusrite,Clarett USB,Clarett 8Pre USB,2018-2021,legacy,USB 2,192,24,10 line out,118,-103,+16,16,limited,,medium,
Focusrite,Clarett+,Clarett+ 2Pre,2021-,current,USB 2,192,24,4 line out,124,-106,+18,68,available,Julian Krause,high,
Focusrite,Clarett+,Clarett+ 4Pre,2021-,current,USB 2,192,24,4 line out,124,-106,+18,68,limited,,medium,
Focusrite,Clarett+,Clarett+ 8Pre,2021-,current,USB 2,192,24,10 line out,124,-106,+18,68,available,independent analyzer tests,medium,
Focusrite,Red,Red 4Pre,2016-,current,Thunderbolt/DigiLink/Dante,192,24,8 line out,121,-104,+18,,limited,,medium,
Focusrite,Red,Red 8Pre,2016-,current,Thunderbolt/DigiLink/Dante,192,24,10 line out,121,-104,+18,,limited,,medium,
Focusrite,Red,Red 8Line,2019-,current,Thunderbolt/DigiLink/Dante,192,24,10 line out,121,-104,+18,,limited,,medium,
Focusrite,Red,Red 16Line,2018-,current,Thunderbolt/DigiLink/Dante,192,24,18 line out,121,-104,+18,,limited,,medium,
MOTU,828,828,2001-2004,legacy,FireWire,48,24,8 line out,,,,,limited,RMAA archives,low,
MOTU,828,828mkII,2003-2007,legacy,FireWire/USB variant,96,24,8 line out,,,,,available,RMAA archives,low,
MOTU,828,828mk3,2008-2014,legacy,FireWire/Hybrid,192,24,8 line out,,,,,available,RMAA archives,low,
MOTU,828,828x,2014-2018,legacy,Thunderbolt/USB,192,24,8 line out,,,,,limited,,low,
MOTU,828,828es,2018-2023,legacy,Thunderbolt/USB/AVB,192,24,8 line out,123,-110,+20,,available,teardown and user analyzer,medium,ES9016S family reported
MOTU,828,828 2024,2024-,current,Thunderbolt/USB4,192,24,8 line out,125,,+24,,limited,,medium,current generation
MOTU,UltraLite,UltraLite,2006-2008,legacy,FireWire,96,24,8 line out,,,,,available,RMAA archives,low,
MOTU,UltraLite,UltraLite mk3,2008-2014,legacy,FireWire/Hybrid,192,24,8 line out,,,,,available,RMAA archives,low,
MOTU,UltraLite,UltraLite AVB,2015-2021,legacy,USB/AVB,192,24,8 line out,117,,+20,,limited,,medium,
MOTU,UltraLite,UltraLite mk5,2021-,current,USB 2,192,24,10 line out,125,-114,+21,100,available,Audio Science Review/user Cosmos ADC,high,minimum-phase reconstruction filter reported
MOTU,M Series,M2,2019-,current,USB 2,192,24,2 line+RCA out,120,-110,+16,,available,Audio Science Review; Julian Krause,high,hardware revision affects converter/filter
MOTU,M Series,M4,2019-,current,USB 2,192,24,4 line+RCA out,120,-110,+16,,available,Audio Science Review; teardown,high,ES9016S reported on early units
MOTU,M Series,M6,2022-,current,USB 2,192,24,4 line out,120,-110,+16,,available,Julian Krause,medium,
MOTU,AVB,16A,2014-2023,legacy,Thunderbolt/USB/AVB,192,24,16 line out,123,,+20,,limited,,medium,
MOTU,AVB,24Ao,2014-,current,USB/AVB,192,24,24 analog out,,,,,limited,,low,
MOTU,AVB,1248,2014-2023,legacy,Thunderbolt/USB/AVB,192,24,12 analog out,123,,+20,,limited,,medium,
MOTU,AVB,112D,2015-,current,Thunderbolt/USB/AVB,192,24,mixed analog/digital,,,,,limited,,low,
MOTU,AVB,8A,2017-,current,Thunderbolt/USB/AVB,192,24,8 analog out,123,,+20,,limited,,medium,
MOTU,Traveler,Traveler,2004-2008,legacy,FireWire,192,24,8 line out,,,,,available,RMAA archives,low,
MOTU,Traveler,Traveler mk3,2008-2019,legacy,FireWire,192,24,8 line out,,,,,limited,,low,
MOTU,Track,Audio Express,2011-2018,legacy,USB/FireWire,96,24,6 analog out,,,,,limited,,low,
Universal Audio,Apollo,Apollo FireWire,2012-2018,legacy,FireWire/Thunderbolt option,192,24,8 line out,118,-100,+20,100,available,Audio Science Review/user tests,medium,
Universal Audio,Apollo,Apollo 8,2015-2018,legacy,Thunderbolt,192,24,8 line out,118,-103,+20,100,limited,,medium,
Universal Audio,Apollo,Apollo 8p,2015-2018,legacy,Thunderbolt,192,24,8 line out,118,-103,+20,100,limited,,medium,
Universal Audio,Apollo,Apollo 16,2013-2018,legacy,Thunderbolt,192,24,16 line out,118,-103,+24,100,limited,,medium,
Universal Audio,Apollo X,Apollo x6 Gen 1,2018-2024,legacy,Thunderbolt,192,24,6 line out,127,-117,+24,100,available,independent analyzer reviews,medium,
Universal Audio,Apollo X,Apollo x8 Gen 1,2018-2024,legacy,Thunderbolt,192,24,8 line out,127,-117,+24,100,available,independent analyzer reviews,medium,
Universal Audio,Apollo X,Apollo x8p Gen 1,2018-2024,legacy,Thunderbolt,192,24,8 line out,127,-117,+24,100,limited,,medium,
Universal Audio,Apollo X,Apollo x16 Gen 1,2018-2024,legacy,Thunderbolt,192,24,16 line out,127,-117,+24,100,limited,,medium,
Universal Audio,Apollo X,Apollo x6 Gen 2,2024-,current,Thunderbolt,192,24,6 line out,129,-120,+24,100,limited,,high,official AP test conditions available
Universal Audio,Apollo X,Apollo x8 Gen 2,2024-,current,Thunderbolt,192,24,8 line out,129,-120,+24,100,limited,,high,
Universal Audio,Apollo X,Apollo x8p Gen 2,2024-,current,Thunderbolt,192,24,8 line out,129,-120,+24,100,limited,,high,
Universal Audio,Apollo X,Apollo x16 Gen 2,2024-,current,Thunderbolt,192,24,16 line out,133,-127,+24,100,limited,,medium,verify model-specific monitor vs line specs
Universal Audio,Apollo Desktop,Apollo Twin,2012-2017,legacy,Thunderbolt,192,24,2 monitor+2 line out,,,,,available,Audio Science Review/user tests,medium,
Universal Audio,Apollo Desktop,Apollo Twin MkII,2017-2020,legacy,Thunderbolt,192,24,2 monitor+2 line out,117,-100,+20,100,available,Audio Science Review,high,
Universal Audio,Apollo Desktop,Apollo Twin X Gen 1,2019-2024,legacy,Thunderbolt,192,24,2 monitor+2 line out,127,-117,+20,100,available,independent analyzer reviews,medium,
Universal Audio,Apollo Desktop,Apollo Twin X Gen 2,2024-,current,Thunderbolt/USB variant,192,24,2 monitor+2 line out,129,-120,+20,100,limited,,high,
Universal Audio,Apollo Desktop,Apollo x4,2019-,current,Thunderbolt,192,24,2 monitor+4 line out,127,-117,+20,100,limited,,medium,
Universal Audio,Apollo Desktop,Apollo Solo/Arrow,2017-,current,Thunderbolt/USB variant,192,24,2 monitor out,118,-109,+14,100,available,Julian Krause/user tests,medium,
Universal Audio,Volt,Volt 1,2021-,current,USB 2,192,24,2 monitor out,,,,,available,Julian Krause,high,DC-coupled
Universal Audio,Volt,Volt 2,2021-,current,USB 2,192,24,2 monitor out,,,,,available,Julian Krause,high,DC-coupled
Universal Audio,Volt,Volt 4,2021-,current,USB 2,192,24,4 line out,,,,,available,Julian Krause,medium,DC-coupled
Universal Audio,Volt,Volt 176,2021-,current,USB 2,192,24,2 monitor out,,,,,available,Julian Krause,medium,76 input compressor irrelevant to D/A
Universal Audio,Volt,Volt 276,2021-,current,USB 2,192,24,2 monitor out,,,,,available,Julian Krause,medium,
Universal Audio,Volt,Volt 476,2021-,current,USB 2,192,24,4 line out,,,,,available,Julian Krause,medium,
Universal Audio,Volt,Volt 476P,2022-,current,USB 2,192,24,4 line out,,,,,limited,,medium,
Universal Audio,Volt,Volt 876,2025-,current,USB,192,32,10 line out,,,,,limited,,medium,32-bit fixed-point not float
Apogee,Duet,Duet FireWire,2007-2012,legacy,FireWire,96,24,2 line out,,,,,available,RMAA/bench tests,low,
Apogee,Duet,Duet 2,2011-2013,legacy,USB 2,192,24,4 analog out,114,,+20,,available,independent reviews,medium,
Apogee,Duet,Duet for iPad and Mac,2013-2021,legacy,USB/Lightning,192,24,4 analog out,114,,+20,,available,independent reviews,medium,
Apogee,Duet,Duet 3,2021-,current,USB-C,192,24,4 analog out,123,-111,+18,50,available,Julian Krause,high,
Apogee,ONE,ONE FireWire/USB,2009-2013,legacy,USB 2,48,24,stereo out,,,,,limited,,low,
Apogee,ONE,ONE for Mac and iOS,2013-2020,legacy,USB/Lightning,96,24,stereo out,,,,,limited,,low,
Apogee,Quartet,Quartet,2012-2020,legacy,USB/Lightning,192,24,6 line out,114,,+20,,limited,,medium,
Apogee,Ensemble,Ensemble FireWire,2006-2014,legacy,FireWire,192,24,8 line out,,,,,available,RMAA/user tests,low,
Apogee,Ensemble,Ensemble Thunderbolt,2014-2023,legacy,Thunderbolt,192,24,8 line out,123,-114,+20,50,limited,,medium,
Apogee,Symphony,Symphony I/O,2010-2017,legacy,PCIe/Thunderbolt,192,24,module dependent,129,-113,+24,,limited,,medium,module-specific
Apogee,Symphony,Symphony I/O Mk II,2016-,current,Thunderbolt/DigiLink,192,24,module dependent,129,-115,+24,,limited,,high,module-specific
Apogee,Symphony,Symphony Desktop,2020-,current,USB-C,192,24,2 monitor out,129,-114,+20,50,available,Sound On Sound/independent,medium,priority premium desktop
Apogee,Symphony,Symphony Studio 2x12,2024-,current,Thunderbolt,192,24,12 line out,124,-113,+20,50,limited,,medium,
Apogee,Symphony,Symphony Studio 8x8,2024-,current,Thunderbolt,192,24,8 line out,124,-113,+20,50,limited,,medium,
Apogee,Symphony,Symphony Studio 8x16,2024-,current,Thunderbolt,192,24,16 line out,124,-113,+20,50,limited,,medium,
Audient,iD,iD22,2013-2023,legacy,USB 2,96,24,6 analog out,114,-96.5,+12,<100,available,Julian Krause/user tests,medium,
Audient,iD,iD14 MkI,2015-2020,legacy,USB 2,96,24,4 analog out,117,,+12,<100,available,Julian Krause,medium,
Audient,iD,iD4 MkI,2016-2020,legacy,USB 2,96,24,2 line out,115,-96.5,+12,<100,available,Julian Krause,medium,
Audient,iD,iD4 MKII,2021-,current,USB-C,96,24,2 line out,125.5,-104.4,+12,,available,Julian Krause; manufacturer,high,
Audient,iD,iD14 MKII,2020-,current,USB-C,96,24,4 line out,126,-108,+12,,available,Julian Krause,high,
Audient,iD,iD24,2023-,current,USB-C,96,24,6 line out,126,-108,+12,,available,Julian Krause,medium,
Audient,iD,iD44 MKI,2018-2022,legacy,USB-C,96,24,8 line out,126,-108,+12,,available,Julian Krause,medium,
Audient,iD,iD44 MKII,2022-,current,USB-C,96,24,8 line out,126,-108,+12,,limited,,medium,
Audient,iD,iD48,2025-,current,USB-C,96,24,8 line out,126,,, ,limited,,medium,
Audient,EVO,EVO 4,2020-,current,USB-C,96,24,2 line out,113,-100,+11,,available,Julian Krause,high,
Audient,EVO,EVO 8,2020-,current,USB-C,96,24,8 line out,113,-100,+11,,available,Julian Krause,medium,
Audient,EVO,EVO 16,2022-,current,USB-C,96,24,8 line out,121,-108,+12,,available,Julian Krause,medium,
Audient,ORIA,ORIA,2023-,current,USB-C/Dante option,96,24,18 analog out,126,,,,limited,,medium,immersive priority
SSL,SSL USB,SSL 2,2020-2024,legacy,USB-C,192,24,2 monitor out,112,-103,+12.5,1,available,Julian Krause,high,
SSL,SSL USB,SSL 2+,2020-2024,legacy,USB-C,192,24,4 line out,112,-103,+12.5,1,available,Julian Krause,high,
SSL,SSL USB,SSL 2 MKII,2024-,current,USB-C,192,32,2 monitor out,120,-108,+14.5,1,available,Julian Krause,medium,
SSL,SSL USB,SSL 2+ MKII,2024-,current,USB-C,192,32,4 line out,120,-108,+14.5,1,available,Julian Krause,medium,
SSL,SSL USB,SSL 12,2022-,current,USB-C,192,32,4 line out,120,-108,+12.5,1,available,Julian Krause,high,
SSL,SSL USB,SSL 18,2025-,current,USB-C,192,32,10 line out,120,,,,limited,,medium,
Lynx,Hilo,Hilo,2012-2024,legacy_or_superseded,USB/Thunderbolt/Dante,192,24,2 line out,121,-114,+24,100,available,Audio Science Review/bench,high,
Lynx,Hilo,Hilo 2,2024-,current,USB/Thunderbolt/Dante,192,32,2 line out,127,-120,+24,,limited,manufacturer AP-class specs,high,clean reference target
Lynx,Aurora,Aurora 8/16,2006-2018,legacy,AES/ADAT+LT cards,192,24,8/16 line out,117,-103,+24,100,available,bench/user tests,medium,
Lynx,Aurora,Aurora(n) 8,2018-,current,USB/Thunderbolt/Dante/HD,192,24,8 line out,123,-113,+24,100,limited,,high,
Lynx,Aurora,Aurora(n) 16,2018-,current,USB/Thunderbolt/Dante/HD,192,24,16 line out,123,-113,+24,100,limited,,high,
Lynx,Aurora,Aurora(n) 24,2018-,current,USB/Thunderbolt/Dante/HD,192,24,24 line out,123,-113,+24,100,limited,,high,
Lynx,Aurora,Aurora(n) 32,2018-,current,USB/Thunderbolt/Dante/HD,192,24,32 line out,123,-113,+24,100,limited,,high,
Prism Sound,Orpheus,Orpheus,2007-2020,legacy,FireWire,192,24,8 line out,118,-105,+18,,available,bench reviews,medium,
Prism Sound,Lyra,Lyra 1,2012-,current,USB 2,192,24,2 line out,115,-105,+18,,limited,,medium,
Prism Sound,Lyra,Lyra 2,2012-,current,USB 2,192,24,4 line out,115,-105,+18,,limited,,medium,
Prism Sound,Titan,Titan,2014-,current,USB/UCC2,192,24,8 line out,118,-107,+18,,limited,,medium,
Prism Sound,Atlas,Atlas,2019-,current,USB/Dante/HDX option,192,24,8 line out,120,-110,+24,,limited,,high,
Prism Sound,Dream ADA-8XR,ADA-8XR,2002-2020,legacy,modular,192,24,8 line module,118,-105,+24,,available,professional bench reports,medium,module revision sensitive
Prism Sound,Dream ADA-128,ADA-128,2022-,current,modular Dante/HDX,192,24,module dependent,125,-115,+24,,limited,,high,
Metric Halo,Mobile I/O,2882,2001-2023,legacy,FireWire/3d card,96_or_192,24,8 line out,,,,,available,RMAA/user tests,low,2d vs 3d converter paths
Metric Halo,Mobile I/O,ULN-2,2003-,current_with_3d,FireWire/USB-C via 3d,192,24,6 analog out,120,-110,+18,,limited,,medium,hardware generations
Metric Halo,Mobile I/O,ULN-8,2009-,current_with_3d,FireWire/USB-C via 3d,192,24,8 line out,120,-110,+24,,limited,,medium,
Metric Halo,Mobile I/O,LIO-8,2012-,current_with_3d,FireWire/USB-C via 3d,192,24,8 line out,120,-110,+24,,limited,,medium,
Metric Halo,Mobile I/O,MH 3d,2018-,current,USB-C/Ethernet,192,24,model dependent,,,,,limited,,medium,upgrade platform not one analog model
Antelope Audio,Orion,Orion32,2012-2015,legacy,USB/MADI,192,24,32 line out,118,-105,+20,,limited,user analyzer tests,low,
Antelope Audio,Orion,Orion32+,2015-2018,legacy,Thunderbolt/USB/MADI,192,24,32 line out,120,-108,+20,,limited,,medium,
Antelope Audio,Orion,Orion32+ Gen 3,2018-2023,legacy,Thunderbolt/USB/MADI,192,24,32 line out,123,-115,+24,,limited,,medium,
Antelope Audio,Orion,Orion 32+ Gen4,2023-,current,Thunderbolt/USB/MADI,192,24,32 line out,130,-115,+24,,limited,,medium,monitor out may differ from line outs
Antelope Audio,Orion Studio,Orion Studio,2015-2017,legacy,Thunderbolt/USB,192,24,16 line out,120,-105,+20,,limited,,low,
Antelope Audio,Orion Studio,Orion Studio Rev 2017,2017-2019,legacy,Thunderbolt/USB,192,24,16 line out,121,-108,+20,,limited,,medium,
Antelope Audio,Orion Studio,Orion Studio Synergy Core,2019-,current,Thunderbolt/USB,192,24,16 line out,130,-115,+24,,limited,,medium,
Antelope Audio,Zen,Zen Studio,2014-2016,legacy,USB,192,24,8 line+monitor out,,,,,limited,,low,
Antelope Audio,Zen,Zen Studio+,2017-2020,legacy,Thunderbolt/USB,192,24,8 line+monitor out,,,,,limited,,low,
Antelope Audio,Zen,Zen Tour,2016-2019,legacy,Thunderbolt/USB,192,24,8 line+monitor out,120,-105,+20,,limited,,medium,
Antelope Audio,Zen,Zen Tour Synergy Core,2019-,current,Thunderbolt/USB,192,24,8 line+monitor out,127,-115,+20,,limited,,medium,
Antelope Audio,Zen,Zen Go Synergy Core,2020-,current,Thunderbolt/USB variant,192,24,2 monitor out,127,-115,+20,,available,Julian Krause,medium,
Antelope Audio,Zen,Zen Q Synergy Core,2021-,current,Thunderbolt/USB variant,192,24,4 line+monitor out,127,-115,+20,,limited,,medium,
Antelope Audio,Zen,Zen Quadro Synergy Core,2023-,current,USB-C,192,24,4 line+monitor out,130,-115,+20,,limited,,medium,
Antelope Audio,Discrete,Discrete 4,2017-2019,legacy,Thunderbolt/USB,192,24,4 line+monitor out,,,,,limited,,low,
Antelope Audio,Discrete,Discrete 8,2017-2019,legacy,Thunderbolt/USB,192,24,8 line+monitor out,,,,,limited,,low,
Antelope Audio,Discrete,Discrete 4 Synergy Core,2019-2022,legacy,Thunderbolt/USB,192,24,4 line+monitor out,,,,,limited,,medium,
Antelope Audio,Discrete,Discrete 8 Synergy Core,2019-2022,legacy,Thunderbolt/USB,192,24,8 line+monitor out,,,,,limited,,medium,
Antelope Audio,Discrete,Discrete 4 Pro Synergy Core,2022-,current,Thunderbolt/USB,192,24,6 line out,130,-115,+20,,limited,,medium,
Antelope Audio,Discrete,Discrete 8 Pro Synergy Core,2022-,current,Thunderbolt/USB,192,24,10 line out,130,-115,+20,,limited,,medium,
Antelope Audio,Galaxy,Galaxy 32 Synergy Core,2020-,current,Thunderbolt/Dante/HDX,192,24,32 line out,130,-115,+24,,limited,,medium,
Antelope Audio,Galaxy,Galaxy 64 Synergy Core,2021-,current,Thunderbolt/Dante/HDX,192,24,64 line out,130,-115,+24,,limited,,medium,
PreSonus,AudioBox,AudioBox USB,2007-2014,legacy,USB 1.1,48,24,2 line out,,,,,available,RMAA archives,low,
PreSonus,AudioBox,AudioBox USB 96,2016-,current,USB 2,96,24,2 line out,105,,+10,,available,Julian Krause,medium,
PreSonus,AudioBox,AudioBox iOne,2014-,current,USB/iOS,96,24,2 line out,,,,,limited,,low,
PreSonus,AudioBox,AudioBox iTwo,2014-,current,USB/iOS,96,24,2 line out,,,,,limited,,low,
PreSonus,AudioBox,AudioBox 22VSL,2011-2016,legacy,USB 2,96,24,2 line out,,,,,limited,,low,
PreSonus,AudioBox,AudioBox 44VSL,2011-2016,legacy,USB 2,96,24,4 line out,,,,,limited,,low,
PreSonus,AudioBox,AudioBox 1818VSL,2011-2016,legacy,USB 2,96,24,8 line out,,,,,limited,,low,
PreSonus,Studio,Studio 24c,2019-,current,USB-C,192,24,2 line out,104,,+10,,available,Julian Krause,medium,
PreSonus,Studio,Studio 26c,2019-,current,USB-C,192,24,4 line out,,,,,limited,,low,
PreSonus,Studio,Studio 68c,2019-,current,USB-C,192,24,4 line out,,,,,limited,,low,
PreSonus,Studio,Studio 1810c,2019-,current,USB-C,192,24,8 line out,,,,,limited,,low,
PreSonus,Studio,Studio 1824c,2019-,current,USB-C,192,24,8 line out,,,,,limited,,low,
PreSonus,Quantum,Quantum,2017-2024,legacy,Thunderbolt,192,24,10 line out,120,,+18,,limited,,medium,
PreSonus,Quantum,Quantum 2,2017-2024,legacy,Thunderbolt,192,24,4 line out,120,,+18,,limited,,medium,
PreSonus,Quantum,Quantum 2626,2020-2024,legacy,Thunderbolt,192,24,8 line out,120,,+18,,available,Julian Krause,medium,
PreSonus,Quantum,Quantum 4848,2018-2024,legacy,Thunderbolt,192,24,32 line out,120,,+18,,limited,,medium,
PreSonus,Quantum,Quantum ES 2,2024-,current,USB-C,192,24,2 line out,111,,+12,,available,Julian Krause,medium,
PreSonus,Quantum,Quantum ES 4,2024-,current,USB-C,192,24,4 line out,111,,+12,,available,Julian Krause,medium,
PreSonus,Quantum,Quantum HD 2,2024-,current,USB-C,192,32,2 line out,124,,+18,,available,Julian Krause,medium,
PreSonus,Quantum,Quantum HD 8,2024-,current,USB-C,192,32,8 line out,124,,+18,,limited,,medium,
Steinberg,CI,CI1,2010-2014,legacy,USB,48,24,2 line out,,,,,limited,,low,
